1462795679016628	5438	56	85	12	07	dd	20
1462795679017657	5440	61	7e	07	43	6f	29
1462795679018503	5442	d1	60	f5	6a	39	8b
1462795679045662	5444	61	95	01	87	fa	a2
1462795679046558	5446	0b	78	32	88	0e	46
1462795679046649	5448	9f	e3	ae	9e	67	17
1462795679047560	5450	9d	01	2a	00	02	00
1462795679047662	5452	43	ea	08	7d	41	0f
1462795679073662	5454	e3	ee	55	78	65	17
1462795679074659	5456	e1	f6	dc	e0	9d	7c
1462795679075556	5458	56	85	12	07	dd	20
1462795679076557	5460	d1	60	f5	6a	39	8b
1462795679076632	5462	61	95	01	87	fa	a2
1462795679077534	5464	0b	78	32	88	0e	46
1462795679101659	5466	9f	e3	ae	9e	67	17
1462795679102660	5468	f1	9f	00	3f	cb	ff
1462795679103662	5470	c4	e8	3d	1a	73	4b
1462795679104660	5471	11	11	54	cc	2c	2c
1462795679105663	5473	e3	03	bd	a7	c4	63
1462795679106564	5474	c9	b2	64	50	95	5b
1462795679129577	5476	44	20	f1	e9	9e	d0
1462795679130566	5477	0e	ad	c4	a3	1e	5e
1462795679132569	5479	a2	b7	47	4a	cb	9a
1462795679133519	5480	e9	ff	7c	f5	2f	f9
1462795679134557	5482	17	a7	71	c3	f5	b6
1462795679135561	5483	60	f5	20	56	c8	a3
1462795679158679	5485	e1	94	22	3a	6d	35
1462795679159574	5486	25	63	05	05	8b	dd
1462795679161666	5488	b2	a3	d7	85	7d	c8
1462795679162575	5489	a8	db	0d	d4	32	8d
1462795679163650	5491	24	f5	b3	29	4d	5d
1462795679164214	5492	84	f6	7e	59	7c	e7
1462795679187652	5494	9d	01	2a	00	02	00
1462795679190677	5495	b9	b3	0a	cf	68	40
1462795679191554	5497	d0	ae	8b	85	81	9a
1462795679218681	5499	65	93	49	a3	08	db
1462795679219585	5501	e3	36	84	5e	29	dd
1462795679219720	5503	e7	9e	b3	b0	e1	7f
1462795679220579	5505	e9	36	ed	b0	b9	92
1462795679246685	5507	87	d4	10	fa	82	1f
1462795679248400	5509	da	43	79	19	fe	60
1462795679275590	5511	9d	01	2a	00	02	00
1462795679276587	5513	ae	2c	98	5d	0a	87
1462795679277593	5515	85	a7	2a	a4	26	4b
1462795679277668	5517	77	a2	e4	ee	49	6a
1462795679303696	5519	11	64	e5	28	ae	08
1462795679304694	5521	e1	5c	ce	89	9a	71
1462795679305694	5523	69	0c	0e	4c	f0	65
1462795679306689	5525	0f	91	41	04	fa	97
1462795679331654	5527	ce	1f	5c	dd	f6	16
1462795679332724	5529	72	2d	05	33	e9	4b
1462795679333675	5531	25	a3	df	56	42	9b
1462795679334679	5533	28	8e	20	77	ea	68
1462795679359654	5535	2b	cd	72	bf	55	f5
1462795679360550	5537	85	c5	4d	9e	cb	4f
1462795679361551	5538	29	c6	16	5b	1d	82
1462795679362521	5540	6e	f5	6f	fd	96	9f
1462795679363558	5541	9e	3b	16	0d	c6	79
1462795679387656	5543	26	b5	16	e7	d4	10
1462795679389656	5544	9a	7d	28	2a	22	8c
1462795679391660	5546	9f	ec	d7	54	69	e6
1462795679392557	5548	2d	7d	40	51	db	b3
1462795679417662	5551	ab	13	97	88	45	78
1462795679418532	5553	f9	41	88	5b	d2	1f
1462795679419661	5555	2a	ff	22	bc	40	0b
1462795679420663	5557	df	07	38	2b	6a	35
1462795679446721	5560	4f	fd	ef	a8	1f	e5
1462795679447667	5562	f5	04	3e	a0	87	d4
1462795679448667	5564	5d	fc	95	06	79	1b
1462795679474677	5566	4e	ab	bd	a4	88	a7
1462795679475705	5568	0e	98	0f	25	db	0b
1462795679476698	5570	fa	29	13	71	a7	67
1462795679502686	5572	b3	fa	41	49	a9	dc
1462795679503739	5574	1d	8c	a4	af	b0	6a
1462795679504745	5576	90	be	0f	db	3b	e7
1462795679531700	5578	32	6a	45	8e	38	f1
1462795679532735	5580	e1	21	62	27	c0	dc
1462795679559715	5582	a0	29	d2	5a	22	c9
1462795679560633	5584	f0	13	26	56	14	b1
1462795679561603	5586	3c	3b	e8	25	fe	e6
1462795679587741	5588	59	08	cd	3f	06	cd
1462795679588717	5590	8c	76	e2	a4	7f	f1
1462795679589706	5592	da	90	73	35	d3	85
1462795679615718	5594	ff	01	ea	13	e6	5f
1462795679616717	5596	82	1f	50	43	ea	08
1462795679617709	5598	06	4b	22	3c	43	f5
1462795679643751	5600	e5	88	6e	25	fd	75
1462795679644748	5602	6c	db	0d	c7	69	36
1462795679645742	5604	3b	ab	c1	51	0e	75
1462795679671730	5606	d4	da	6b	ff	4c	3d
1462795679672652	5607	78	2f	a8	d6	4d	cf
1462795679673653	5609	d1	20	39	df	42	9f
1462795679674632	5610	88	b8	86	7e	c1	5e
1462795679700732	5612	3e	da	24	0e	1c	03
1462795679701682	5613	ae	56	c5	49	a4	8b
1462795679701744	5615	99	e1	a1	5e	9c	0e
1462795679702762	5616	4f	e8	25	96	b6	de
1462795679703669	5618	4d	e5	ee	0b	63	bc
1462795679729767	5619	65	96	6c	2c	fc	8b
1462795679730617	5621	ac	d8	3b	4b	2a	fe
1462795679731644	5622	bf	b0	ef	cc	3f	b5
1462795679731753	5624	17	bc	cb	d3	a7	0d
1462795679757809	5625	d5	ca	13	07	c6	89
1462795679758698	5627	32	0d	b1	8d	1f	c6
1462795679759806	5628	b2	2c	19	cb	0a	38
1462795679760658	5630	8a	9d	a4	4b	f8	b3
1462795679785672	5631	0d	86	9a	8c	68	44
1462795679786667	5633	13	70	4b	d7	02	1a
1462795679787671	5634	81	4a	b2	2c	b9	89
1462795679788670	5636	96	f9	f9	2b	1a	6e
1462795679788841	5637	4d	c8	4c	21	6a	27
1462795679813778	5639	9f	b8	f8	ac	ee	68
1462795679814680	5640	0f	15	d0	fc	20	32
1462795679815778	5642	9a	06	93	86	f6	35
1462795679816677	5643	2a	1e	d6	54	ac	37
1462795679817696	5645	11	cb	98	1e	00	0e
1462795679817749	5646	e3	fb	e8	0e	3b	d7
1462795679842748	5648	81	ee	bc	4f	a5	a6
1462795679843675	5649	a5	8d	54	ca	19	d3
1462795679844744	5651	bc	69	64	45	d6	3f
1462795679845651	5652	d6	fb	63	7e	87	31
1462795679846651	5654	b3	8c	fc	03	6f	2c
1462795679846755	5655	30	be	65	9e	47	96
1462795679871754	5657	ec	ac	9d	a4	b4	14
1462795679872681	5658	73	93	99	a6	11	9e
1462795679873779	5660	18	2a	94	4f	fa	80
1462795679874681	5661	2a	0d	2b	03	85	1d
1462795679875681	5663	e3	85	23	e6	cb	e3
1462795679875847	5664	b5	69	1f	89	9d	6c
1462795679900787	5666	c6	4d	f1	b0	4b	b0
1462795679901689	5667	77	2f	40	c7	4c	c4
1462795679901763	5669	00	4e	02	a3	ea	68
1462795679902742	5671	08	c4	33	cd	f0	6f
1462795679903670	5673	54	41	04	c7	8a	4f
1462795679904687	5674	31	7f	86	c7	6b	da
1462795679904736	5676	cf	0d	64	f5	6e	99
1462795679929714	5677	e7	9e	ee	b3	1d	c1
1462795679930836	5679	9d	01	2a	00	02	00
1462795679932616	5681	43	34	9a	42	f4	52
1462795679932737	5683	c1	d7	2e	5e	db	39
1462795679933612	5684	cb	62	9c	eb	cd	0f
1462795679933735	5686	58	f7	29	52	9f	24
1462795679957794	5687	ff	2b	a6	2e	e7	25
1462795679958665	5689	e5	f6	2f	ec	dd	5c
1462795679960791	5690	6e	b4	b2	f6	dc	ad
1462795679961672	5692	40	79	b8	09	1d	af
1462795679962647	5693	e7	0f	de	a7	37	04
1462795679962688	5695	62	84	1a	c1	82	e9
1462795679985801	5697	9d	01	2a	00	02	00
1462795679986701	5698	85	27	31	8b	b5	02
1462795679988849	5700	a4	d6	f5	68	87	37
1462795679989702	5701	0b	d5	9e	b0	a3	79
1462795679990804	5703	82	04	16	77	05	df
1462795679991711	5704	f7	d9	2a	6f	dd	a0
1462795679992711	5706	11	c0	bc	ec	0b	00
1462795680014820	5707	d3	e9	0f	2b	fd	f3
1462795680015718	5709	36	6a	6d	d7	3c	62
1462795680017811	5710	f4	2a	b9	49	42	d3
1462795680018388	5712	53	29	fc	17	b4	fd
1462795680019721	5714	9d	01	2a	00	02	00
1462795680020715	5715	4e	d1	97	4a	7f	7e
1462795680020803	5716	c9	79	b6	bc	9f	54
1462795680042816	5718	9d	6f	f7	50	1b	50
1462795680043707	5719	de	48	c4	bc	63	ed
1462795680045781	5721	a2	fc	73	fb	eb	c4
1462795680046683	5722	59	3c	76	d5	cf	0f
1462795680047710	5724	2e	44	46	a6	35	d3
1462795680048811	5725	95	1f	3c	c7	fd	f3
1462795680049705	5727	9d	01	2a	00	02	00
1462795680071828	5729	75	24	0a	69	6a	da
1462795680072715	5731	4e	1b	bb	b2	da	1d
1462795680074814	5733	5e	2a	53	c9	45	c1
1462795680075700	5735	d8	dc	dd	cd	83	da
1462795680076808	5737	be	10	07	94	1c	d7
1462795680077715	5739	2b	d9	6f	54	1a	f0
1462795680078719	5741	dc	4a	04	ac	a8	3f
1462795680099792	5743	1a	2a	88	36	a8	7e
1462795680100813	5745	23	aa	fc	00	eb	2f
1462795680127726	5747	e1	48	3b	4a	66	38
1462795680128768	5749	9d	01	2a	00	02	00
1462795680129723	5751	35	5c	f4	79	d5	7f
1462795680129886	5753	98	e8	7a	24	77	98
1462795680129921	5755	56	6e	17	d9	ff	d7
1462795680130046	5757	4f	f8	9d	6c	f6	74
1462795680155826	5759	de	d4	b3	ca	1b	1c
1462795680156777	5761	63	20	89	ef	b4	83
1462795680157776	5763	1e	29	84	2c	fe	b7
1462795680158786	5765	75	de	32	3f	76	f7
1462795680159551	5767	05	83	95	0e	5e	8a
1462795680160726	5769	9d	01	2a	00	02	00
1462795680160922	5771	9d	8e	4b	7e	6d	4d
1462795680183811	5773	d5	6f	3c	e3	da	f8
1462795680184845	5774	84	e5	fb	7a	dc	19
1462795680185847	5776	8d	0b	2f	0c	4a	a7
1462795680186845	5777	93	fd	8d	5f	06	3a
1462795680187838	5779	40	dd	8c	90	77	e5
1462795680188851	5780	00	49	d7	e4	c4	f9
1462795680189833	5782	5f	e5	02	93	8e	d5
1462795680212871	5784	9d	01	2a	00	02	00
1462795680213690	5785	9d	8e	4b	7e	6d	4d
1462795680214825	5787	d5	6f	3c	e3	da	f8
1462795680215746	5788	84	e5	fb	7a	dc	19
1462795680216845	5790	8d	0b	2f	0c	4a	a7
1462795680217740	5791	93	fd	8d	5f	06	3a
1462795680218737	5793	40	dd	8c	90	77	e5
1462795680241871	5794	00	49	d7	e4	c4	f9
1462795680242733	5796	5f	e5	02	93	8e	d5
1462795680243846	5798	9d	01	2a	00	02	00
1462795680244694	5799	e0	db	bc	1b	77	83
1462795680245792	5801	53	55	17	43	1e	13
1462795680246694	5802	98	45	8b	ad	93	b0
1462795680269846	5804	7c	5f	a9	9d	f7	2a
1462795680270748	5805	c8	a3	19	3b	d8	fe
1462795680271745	5807	9c	f4	f1	04	0d	94
1462795680272815	5808	12	41	2e	43	08	13
1462795680273716	5810	9d	c0	6a	10	74	1c
1462795680274540	5811	73	3a	64	c9	51	83
1462795680275818	5813	9d	01	2a	00	02	00
1462795680298820	5814	6b	63	1a	4e	52	79
1462795680300821	5816	ff	8b	8c	29	f2	e4
1462795680301721	5818	11	d3	1f	74	6d	76
1462795680302819	5820	8b	0b	76	bb	47	7c
1462795680303719	5822	66	d9	f9	09	08	19
1462795680326884	5824	24	cf	0e	df	92	da
1462795680327721	5826	b9	11	ed	94	f0	e1
1462795680327736	5828	cd	0d	a4	11	d9	32
1462795680329821	5830	d9	01	3b	20	27	64
1462795680358860	5832	9d	01	2a	00	02	00
1462795680359763	5834	d3	f2	c6	95	3c	f4
1462795680359832	5836	c6	a8	2b	18	2b	be
1462795680359963	5838	f3	86	46	48	ae	13
1462795680360078	5840	59	45	81	69	62	68
1462795680386856	5842	0d	93	37	eb	3f	50
1462795680387765	5844	97	b8	cc	71	cc	b2
1462795680388731	5846	f4	01	3d	f2	95	a9
1462795680389708	5848	0c	60	92	62	26	71
1462795680389725	5850	29	8c	91	a7	2f	3e
1462795680389865	5852	9d	01	2a	00	02	00
1462795680390701	5854	a0	96	cd	28	29	e8
1462795680414896	5857	3c	be	6b	d1	90	f9
1462795680415893	5859	b0	03	30	9b	d3	c5
1462795680416872	5861	d3	ca	d2	96	33	c6
1462795680417842	5862	4c	8f	fc	da	8b	dd
1462795680418840	5864	ab	18	64	62	18	41
1462795680419770	5865	08	c6	a6	36	4d	63
1462795680419836	5867	e5	13	8b	45	a8	d8
1462795680442774	5870	9d	01	2a	00	02	00
1462795680443777	5871	a0	96	cd	28	29	e8
1462795680445775	5873	3c	be	6b	d1	90	f9
1462795680446796	5874	b0	03	30	9b	d3	c5
1462795680447796	5876	d3	ca	d2	96	33	c6
1462795680448763	5877	4c	8f	fc	da	8b	dd
1462795680448868	5879	ab	18	64	62	18	41
1462795680471867	5880	08	c6	a6	36	4d	63
1462795680472755	5882	e5	13	8b	45	a8	d8
1462795680474815	5884	9d	01	2a	00	02	00
1462795680475728	5885	34	a9	e7	a7	e5	8d
1462795680476795	5887	4c	34	4e	d6	1a	62
1462795680477696	5888	19	8c	17	b9	e6	d7
1462795680499847	5890	62	a3	69	ab	14	f5
1462795680500727	5891	53	af	64	59	c3	cd
1462795680501729	5893	10	48	0e	89	10	c7
1462795680503884	5894	bb	57	f1	d0	6a	42
1462795680504723	5896	e9	00	c4	9d	4d	49
1462795680505846	5898	9d	01	2a	00	02	00
1462795680506749	5899	34	a9	e7	a7	e5	8d
1462795680528890	5901	4c	34	4e	d6	1a	62
1462795680529771	5902	19	8c	17	b9	e6	d7
1462795680531877	5904	62	a3	69	ab	14	f5
1462795680532788	5905	53	af	64	59	c3	cd
1462795680533795	5907	10	48	0e	89	10	c7
1462795680534876	5908	bb	57	f1	d0	6a	42
1462795680535741	5910	e9	00	c4	9d	4d	49
1462795680557896	5912	9d	01	2a	00	02	00
1462795680558804	5913	34	a9	e7	a7	e5	8d
1462795680560874	5915	4c	34	4e	d6	1a	62
1462795680561774	5916	19	8c	17	b9	e6	d7
1462795680561867	5917	62	a3	69	ab	14	f5
1462795680562878	5919	53	af	64	59	c3	cd
1462795680563740	5920	10	48	0e	89	10	c7
1462795680564781	5922	bb	57	f1	d0	6a	42
1462795680586878	5923	e9	00	c4	9d	4d	49
1462795680593905	5925	9d	01	2a	00	02	00
1462795680594781	5926	34	a9	e7	a7	e5	8d
1462795680594872	5927	4c	34	4e	d6	1a	62
1462795680595036	5929	19	8c	17	b9	e6	d7
1462795680595133	5930	62	a3	69	ab	14	f5
1462795680595275	5932	53	af	64	59	c3	cd
1462795680614925	5933	10	48	0e	89	10	c7
1462795680615816	5935	bb	57	f1	d0	6a	42
1462795680622866	5936	e9	00	c4	9d	4d	49
1462795680623893	5938	9d	01	2a	00	02	00
1462795680624767	5939	34	a9	e7	a7	e5	8d
1462795680624931	5941	4c	34	4e	d6	1a	62
1462795680624998	5942	19	8c	17	b9	e6	d7
1462795680642867	5944	62	a3	69	ab	14	f5
1462795680643805	5945	53	af	64	59	c3	cd
1462795680650899	5947	10	48	0e	89	10	c7
1462795680651800	5948	bb	57	f1	d0	6a	42
1462795680652840	5950	e9	00	c4	9d	4d	49
1462795680653874	5952	9d	01	2a	00	02	00
1462795680654748	5953	64	bc	e0	c9	79	c1
1462795680654853	5955	f2	2b	01	33	9f	18
1462795680671872	5956	fb	0f	fb	ee	90	a3
1462795680672777	5958	11	36	dc	e7	0e	01
1462795680679881	5959	9c	81	61	bd	37	73
1462795680680779	5961	3b	12	66	47	6a	8c
1462795680680958	5962	45	87	ef	a3	a9	1c
1462795680681752	5964	26	c9	36	ed	87	af
1462795680682794	5965	6c	1a	75	91	0e	17
1462795680700782	5967	9d	01	2a	00	02	00
1462795680701803	5968	70	00	e9	1d	57	ef
1462795680701883	5969	ec	d6	cc	da	22	2d
1462795680707915	5971	87	7f	d3	a8	42	7b
1462795680708810	5973	4d	87	0a	e9	83	d9
1462795680709811	5974	6c	01	68	52	8e	64
1462795680710854	5976	4a	29	59	e0	b5	1f
1462795680711760	5977	dc	8b	ff	8f	f4	b6
1462795680711918	5979	7f	d4	89	c9	c5	8f
1462795680729674	5980	ad	aa	30	0c	ea	b0
1462795680736915	5982	9d	01	2a	00	02	00
1462795680737819	5983	98	d6	e2	8b	60	e3
1462795680737891	5984	55	63	2c	bf	9c	88
1462795680738813	5986	90	f3	3d	6d	03	d9
1462795680738889	5987	02	c7	bc	6c	f9	fa
1462795680739844	5989	e9	6a	29	eb	64	7c
1462795680757884	5990	71	31	48	97	ec	7b
1462795680758811	5992	65	ce	50	e8	ea	9b
1462795680758891	5993	91	43	9d	a0	fa	07
1462795680765745	5995	37	14	70	97	ed	cd
1462795680766824	5997	9d	01	2a	00	02	00
1462795680767822	5998	94	0f	83	28	1f	06
1462795680767894	5999	e2	25	13	81	23	a6
1462795680768100	6001	d7	da	a6	eb	df	34
1462795680785915	6003	a9	ca	9f	bc	ff	d9
1462795680786928	6004	77	e4	6e	b4	6f	2a
1462795680787821	6006	07	ca	c3	e8	ca	67
1462795680788829	6007	80	57	80	c2	e9	f0
1462795680793909	6009	f8	e0	1a	86	38	60
1462795680795693	6010	90	48	b2	fd	57	7b
1462795680797782	6012	9d	01	2a	00	02	00
1462795680798780	6013	76	3f	79	c0	fc	91
1462795680798916	6015	d6	e6	af	46	58	7f
1462795680799001	6016	1f	2d	db	59	6e	e4
1462795680814902	6018	ce	37	89	c3	f9	94
1462795680815781	6019	d3	a9	49	a6	37	97
1462795680823964	6021	99	b7	05	43	fa	36
1462795680824839	6022	16	ea	27	e0	49	31
1462795680825812	6024	8a	e0	04	4b	5f	4d
1462795680825820	6025	9c	18	ed	6c	8a	b0
1462795680828837	6027	9d	01	2a	00	02	00
1462795680829840	6028	76	3f	79	c0	fc	91
1462795680829905	6030	d6	e6	af	46	58	7f
1462795680830056	6031	1f	2d	db	59	6e	e4
1462795680843907	6033	d3	a9	49	a6	37	97
1462795680853929	6035	99	b7	05	43	fa	36
1462795680854836	6037	16	ea	27	e0	49	31
1462795680855831	6039	8a	e0	04	4b	5f	4d
1462795680855848	6041	9c	18	ed	6c	8a	b0
1462795680869906	6043	9d	01	2a	00	02	00
1462795680870902	6045	1f	be	76	3f	7c	ec
1462795680870978	6047	59	dc	92	0f	9c	9c
1462795680871123	6049	bc	3e	06	5f	3b	fe
1462795680871879	6051	3a	39	d6	93	df	17
1462795680881882	6053	b9	96	83	cc	4f	a4
1462795680882935	6055	ce	37	89	c3	f9	94
1462795680910945	6058	96	64	bc	1e	c4	75
1462795680911845	6060	fc	39	14	4b	d6	bc
1462795680912813	6062	1c	ca	1f	f9	96	85
1462795680912828	6064	77	69	e2	66	9f	73
1462795680920954	6066	9d	01	2a	00	02	00
1462795680921851	6068	cf	45	11	cf	91	e1
1462795680921944	6070	69	6d	e9	2a	00	de
1462795680938943	6073	af	1c	67	0e	26	64
1462795680939799	6075	a3	7e	84	b6	6b	a3
1462795680940865	6077	63	36	b7	c4	5f	a5
1462795680941840	6079	f2	95	fa	c8	a6	10
1462795680942811	6081	43	1c	10	05	98	81
1462795680948913	6083	a8	4d	26	18	ec	10
1462795680949545	6085	ec	b9	52	f1	f6	55
1462795680970921	6087	9d	01	2a	00	02	00
1462795680971824	6088	cf	45	11	cf	91	e1
1462795680971927	6090	69	6d	e9	2a	00	de
1462795680972050	6091	af	1c	67	0e	26	64
1462795680972827	6093	a3	7e	84	b6	6b	a3
1462795680972926	6094	63	36	b7	c4	5f	a5
1462795680973081	6096	f2	95	fa	c8	a6	10
1462795680976895	6097	43	1c	10	05	98	81
1462795680977899	6099	a8	4d	26	18	ec	10
1462795680999577	6100	ec	b9	52	f1	f6	55
1462795681022960	6102	9d	01	2a	00	02	00
1462795681023860	6103	f7	ce	c7	ef	9d	87
1462795681023969	6105	a4	af	e0	c6	af	7c
1462795681024061	6106	ee	36	cf	e2	60	be
1462795681024205	6108	91	34	96	55	99	76
1462795681024843	6109	be	bc	64	15	ee	3b
1462795681024948	6111	0f	f4	d1	81	1b	1b
1462795681027931	6112	a5	79	20	ca	72	2f
1462795681028831	6114	a5	d2	f1	ae	97	83
1462795681051776	6115	1b	40	64	af	0b	a8
1462795681073976	6117	9d	01	2a	00	02	00
1462795681074857	6118	46	d6	10	8d	ac	21
1462795681075865	6120	4b	12	ff	7f	6d	97
1462795681075993	6121	ba	dd	2e	1e	b1	4c
1462795681076063	6122	47	a2	9a	77	c0	50
1462795681076218	6124	42	33	45	5f	8a	45
1462795681076309	6125	24	3d	f1	1c	2c	db
1462795681079927	6127	4a	34	da	64	c1	c4
1462795681080802	6128	a9	fe	f8	41	72	33
1462795681124994	6130	9d	01	2a	00	02	00
1462795681125888	6131	46	d6	10	8d	ac	21
1462795681126882	6133	4b	12	ff	7f	6d	97
1462795681127000	6134	ba	dd	2e	1e	b1	4c
1462795681127069	6135	47	a2	9a	77	c0	50
1462795681127195	6137	42	33	45	5f	8a	45
1462795681127325	6138	24	3d	f1	1c	2c	db
1462795681127446	6140	4a	34	da	64	c1	c4
1462795681127549	6141	a9	fe	f8	41	72	33
1462795681180948	6143	9d	01	2a	00	02	00
1462795681181851	6144	46	d6	10	8d	ac	21
1462795681181966	6146	4b	12	ff	7f	6d	97
1462795681182132	6147	ba	dd	2e	1e	b1	4c
1462795681182284	6148	47	a2	9a	77	c0	50
1462795681182333	6149	42	33	45	5f	8a	45
1462795681182848	6151	24	3d	f1	1c	2c	db
1462795681182973	6152	4a	34	da	64	c1	c4
1462795681183060	6154	a9	fe	f8	41	72	33
1462795681235993	6156	9d	01	2a	00	02	00
1462795681236884	6157	46	d6	10	8d	ac	21
1462795681237890	6159	4b	12	ff	7f	6d	97
1462795681237999	6160	ba	dd	2e	1e	b1	4c
1462795681238092	6161	47	a2	9a	77	c0	50
1462795681238276	6163	42	33	45	5f	8a	45
1462795681238341	6164	24	3d	f1	1c	2c	db
1462795681238500	6166	4a	34	da	64	c1	c4
1462795681238569	6167	a9	fe	f8	41	72	33
1462795681288973	6169	9d	01	2a	00	02	00
1462795681289892	6170	46	d6	10	8d	ac	21
1462795681289993	6172	4b	12	ff	7f	6d	97
1462795681290101	6173	ba	dd	2e	1e	b1	4c
1462795681290876	6175	47	a2	9a	77	c0	50
1462795681290983	6176	42	33	45	5f	8a	45
1462795681291137	6178	24	3d	f1	1c	2c	db
1462795681291221	6179	4a	34	da	64	c1	c4
1462795681291330	6181	a9	fe	f8	41	72	33
1462795681345006	6183	9d	01	2a	00	02	00
1462795681345911	6184	46	d6	10	8d	ac	21
1462795681346029	6186	4b	12	ff	7f	6d	97
1462795681346110	6187	ba	dd	2e	1e	b1	4c
1462795681346260	6189	47	a2	9a	77	c0	50
1462795681346357	6190	42	33	45	5f	8a	45
1462795681346884	6192	24	3d	f1	1c	2c	db
1462795681346936	6193	4a	34	da	64	c1	c4
1462795681347039	6194	a9	fe	f8	41	72	33
1462795681398012	6196	9d	01	2a	00	02	00
1462795681398880	6197	46	d6	10	8d	ac	21
1462795681398993	6199	4b	12	ff	7f	6d	97
1462795681399105	6200	ba	dd	2e	1e	b1	4c
1462795681399918	6202	47	a2	9a	77	c0	50
1462795681400039	6203	42	33	45	5f	8a	45
1462795681400119	6204	24	3d	f1	1c	2c	db
1462795681400289	6206	4a	34	da	64	c1	c4
1462795681400347	6207	a9	fe	f8	41	72	33
1462795681448922	6211	9d	01	2a	00	02	00
1462795681449923	6212	46	d6	10	8d	ac	21
1462795681450021	6214	4b	12	ff	7f	6d	97
1462795681450125	6215	ba	dd	2e	1e	b1	4c
1462795681450333	6217	47	a2	9a	77	c0	50
1462795681450415	6218	42	33	45	5f	8a	45
1462795681450495	6219	24	3d	f1	1c	2c	db
1462795681450650	6221	4a	34	da	64	c1	c4
1462795681450833	6222	a9	fe	f8	41	72	33
1462795681502985	6224	9d	01	2a	00	02	00
1462795681503938	6225	46	d6	10	8d	ac	21
1462795681504927	6227	4b	12	ff	7f	6d	97
1462795681505019	6228	ba	dd	2e	1e	b1	4c
1462795681505133	6230	47	a2	9a	77	c0	50
1462795681505297	6231	42	33	45	5f	8a	45
1462795681505382	6233	24	3d	f1	1c	2c	db
1462795681505505	6234	4a	34	da	64	c1	c4
1462795681505612	6236	a9	fe	f8	41	72	33
1462795681557052	6238	9d	01	2a	00	02	00
1462795681557947	6239	9c	c7	d5	0a	6e	56
1462795681558015	6241	5c	2b	6e	ad	5b	7e
1462795681558138	6242	15	5e	e1	e8	b9	a3
1462795681558958	6244	ba	fd	cb	b8	67	e4
1462795681559021	6245	ee	2a	4f	fe	93	6a
1462795681559162	6247	44	43	b9	82	0b	aa
1462795681559265	6248	9b	3a	3b	e2	63	32
1462795681614983	6251	9d	01	2a	00	02	00
1462795681615956	6252	09	ce	7e	42	8d	3b
1462795681616025	6254	e5	a5	bc	b5	1a	b1
1462795681616167	6255	b7	59	2c	b1	01	8e
1462795681616272	6257	0a	93	a6	b5	b9	ad
1462795681616397	6258	8e	8c	ea	b0	74	e6
1462795681616890	6260	fe	4e	e0	e7	fd	6b
1462795681617063	6261	3c	7e	51	ed	bc	9b
1462795681617098	6262	1f	b2	66	cd	41	95
1462795681665065	6264	9d	01	2a	00	02	00
1462795681666037	6265	09	ce	7e	42	8d	3b
1462795681666049	6266	e5	a5	bc	b5	1a	b1
1462795681666963	6268	b7	59	2c	b1	01	8e
1462795681667056	6269	0a	93	a6	b5	b9	ad
1462795681667156	6271	8e	8c	ea	b0	74	e6
1462795681667275	6272	fe	4e	e0	e7	fd	6b
1462795681667424	6274	3c	7e	51	ed	bc	9b
1462795681667482	6275	1f	b2	66	cd	41	95
1462795681721034	6277	9d	01	2a	00	02	00
1462795681721965	6278	09	ce	7e	42	8d	3b
1462795681722047	6279	e5	a5	bc	b5	1a	b1
1462795681722198	6281	b7	59	2c	b1	01	8e
1462795681722328	6282	0a	93	a6	b5	b9	ad
1462795681722952	6284	8e	8c	ea	b0	74	e6
1462795681723059	6285	fe	4e	e0	e7	fd	6b
1462795681723173	6286	3c	7e	51	ed	bc	9b
1462795681723248	6287	1f	b2	66	cd	41	95
1462795681772077	6289	9d	01	2a	00	02	00
1462795681772975	6290	09	ce	7e	42	8d	3b
1462795681773046	6292	e5	a5	bc	b5	1a	b1
1462795681773968	6293	b7	59	2c	b1	01	8e
1462795681774047	6295	0a	93	a6	b5	b9	ad
1462795681774240	6296	8e	8c	ea	b0	74	e6
1462795681774366	6297	fe	4e	e0	e7	fd	6b
1462795681774417	6298	3c	7e	51	ed	bc	9b
1462795681774501	6300	1f	b2	66	cd	41	95
1462795681819952	6302	9d	01	2a	00	02	00
1462795681820981	6303	09	ce	7e	42	8d	3b
1462795681821054	6304	e5	a5	bc	b5	1a	b1
1462795681821228	6306	b7	59	2c	b1	01	8e
1462795681821356	6307	0a	93	a6	b5	b9	ad
1462795681821503	6308	8e	8c	ea	b0	74	e6
1462795681821551	6309	fe	4e	e0	e7	fd	6b
1462795681821973	6311	3c	7e	51	ed	bc	9b
1462795681822024	6312	1f	b2	66	cd	41	95
1462795681867056	6314	9d	01	2a	00	02	00
1462795681867980	6315	09	ce	7e	42	8d	3b
1462795681868062	6316	e5	a5	bc	b5	1a	b1
1462795681868947	6318	b7	59	2c	b1	01	8e
1462795681869068	6320	0a	93	a6	b5	b9	ad
1462795681869190	6321	8e	8c	ea	b0	74	e6
1462795681869362	6323	fe	4e	e0	e7	fd	6b
1462795681869499	6324	3c	7e	51	ed	bc	9b
1462795681869509	6325	1f	b2	66	cd	41	95
1462795681916126	6328	9d	01	2a	00	02	00
1462795681917030	6329	09	ce	7e	42	8d	3b
1462795681917088	6330	e5	a5	bc	b5	1a	b1
1462795681917253	6332	b7	59	2c	b1	01	8e
